"","days","1P","2PS","2PP","3PP","1P.1","2PS.1","2PP.1","3PP.1","1P.2","2PS.2","2PP.2","3PP.2","1P.3","2PS.3","2PP.3","3PP.3","1P.4","2PS.4","2PP.4","3PP.4","1P.5","2PS.5","2PP.5","3PP.5","1P.6","2PS.6","2PP.6","3PP.6","1P.7","2PS.7","2PP.7","3PP.7","1P.8","2PS.8","2PP.8","3PP.8","1P.9","2PS.9","2PP.9","3PP.9","1P.10","2PS.10","2PP.10","3PP"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,1.69160438105716,15.0000574006107,10.7548872937577,42.791743518301,1.63816562884719,15.0722416140305,10.8050029425064,15.7791487476208,2.28156083266442,12.2808711323354,9.73510241521069,33.5173827829993,0.912342901463726,4.13263422243188,2.63260384827851,4.81142966783195,2.14616873856227,11.9520267240185,6.06257684138744,43.6131715321258,1.32518420449513,7.82338831098665,5.95907317891893,23.3852775571393,0.547302065686569,2.61722689052112,1.2404652616249,3.40506708370788,1.34889202741838,6.29559188389548,2.97999849479252,22.9290964773382,1.8614068876843,9.31111313036763,2.20618374763471,2.26614527799293,0.335721268444119,0.548805760771313,0.477484283748353,0.498474637375502,0.333893933900043,0.497036109671728,0.447155341313233,0.486872303751349
"3",2,3.3808226035164,27.8133505347205,20.6291285984672,43.9646926061092,3.27409304812891,27.8774852617818,20.6918312398732,28.941772173461,4.55879411678993,23.5074459463715,18.9481770484104,37.5199530486872,1.82399719431751,7.92092322343776,5.18428993647973,8.99112506152253,4.28873962627556,22.4050985586551,11.9307055703064,42.9192681075631,2.64834799209912,14.8979216479921,11.5858674963196,25.0727216782035,1.09426061930259,4.96314396483446,2.45535963016075,6.08411852958269,2.69577815035474,11.829010451028,5.89347978966808,22.7570629013783,3.71888030041827,10.9551009611345,4.39940158172839,4.510268138925,0.671234154391004,1.08577346668238,0.95095078283079,0.991065651273264,0.667579521822962,0.986382724241552,0.891128721854484,0.966279968436822
"4",3,5.06765803264807,38.7678958096996,29.6948508838531,49.1229986092766,4.90778531528047,38.7660759731131,29.7385307434337,39.9392826772928,6.83170785925544,33.7743990228447,27.66721806136,44.1415519767115,2.73496339792621,11.3967664038689,7.65754576109873,12.6409075500454,6.42771950705212,31.5655447892836,17.6106247700204,46.6534072521577,3.96949444246846,21.298636055196,16.8989118934283,28.7703148902813,1.64087587618772,7.06985587550837,3.64521286011646,8.22290717039928,4.04066135102871,16.7061517831062,8.74192796078784,24.8447397867055,5.57242831536624,12.8189560986754,6.57973247803588,6.73297258438216,1.00653878699654,1.61136645440239,1.42043360771274,1.47789137852188,1.00105689358676,1.4682671626624,1.33194233778522,1.43847823430746
"5",4,6.75211360979956,48.142112929774,38.0182500704483,52.9614220760383,6.53924510274133,48.0337889728061,38.0164811199418,49.1444080166927,9.10031025775612,43.1678355839124,35.9187065512563,49.7404018878117,3.64524196674932,14.5890971572112,10.0547826304747,15.8457548600022,8.56311313478102,39.6110512909971,23.1083705187901,49.1437955161536,5.28862624718098,27.0929764886242,21.915694096577,31.7672106319912,2.18714802488751,8.96564570202898,4.81054058049753,9.95880256389379,5.38354423595081,21.0180323365744,11.5267961533922,26.2970620663823,7.42205927791795,14.52714812831,8.7472513738123,8.93483938779533,1.34163527937202,2.12602932695153,1.88596704923062,1.9590615385113,1.33432616288155,1.94290655434985,1.76961989893068,1.9037058394287
"6",5,8.43419325226678,56.1728865416783,45.660105366952,56.914884534313,8.16847596980302,55.9308628898575,45.5910036338595,56.8658200994927,11.3646098349695,51.7661534173247,43.7277179213245,55.3159726656448,4.55483350635954,17.5241692764446,12.3783353053688,18.6767845158055,10.6949274484173,46.6949432280058,28.4297833992979,51.9135545695502,6.60574699055417,32.3416645196248,26.6527364996864,34.8016178749476,2.73307731666688,10.6754570997795,5.9518481636606,11.3941299639204,6.72443027626244,24.8431105431458,14.2495024610925,27.89752372761,9.26778178804252,16.2680218292914,10.9020335105454,11.1164278786411,1.67652378225577,2.63018910040059,2.34758398126523,2.43468481821737,1.66738748121666,2.4105125319204,2.2041832818256,2.36219534073325
"7",6,10.1139001713894,63.0613652540965,52.6762219297229,60.6097323047003,9.79548083450278,62.6689228036874,52.5218706227018,63.3588496149422,13.6246146446575,59.6407153160622,51.117977231988,60.6124669519585,5.46373851366016,20.2258054086374,14.6304690681051,21.1934549964149,12.8231682755132,52.9494049128491,33.5805197905645,54.5554856209413,7.92085961048199,37.0993357262654,31.1256361041234,37.6814443576304,3.278663957739,12.2212818329516,7.06963047572295,12.6048770476012,8.06332231724439,28.2489163119559,16.9114341235024,29.4364875204985,11.1096040003794,17.9954852241933,13.0441537126297,13.2782768833461,2.01120441936011,3.12425583006021,2.80531735562888,2.90486768048189,2.00024097293655,2.87129022797284,2.63565464821142,2.81417038551909
"8",7,11.7912377141215,68.9788996836726,59.1178404364985,64.1565431090974,11.4202627382203,68.4268826161612,58.8637828362331,68.8347869285689,15.8803328328561,66.856477905581,58.1119386059896,65.7100269297959,6.37195750682636,22.7156209614725,16.8133790908332,23.4455004135677,14.9478416061305,58.4884674100689,38.5660537180388,57.1794780894129,9.23396716862816,41.4151553901918,35.3491211104926,40.4635898629789,3.82390816316786,13.6225072215147,8.16437240156533,13.6475643713519,9.40022332414013,31.2935948230437,19.5139479699193,30.9703477555608,12.9475341568874,19.7221768281863,15.1736863878518,15.4209058793358,2.34567731970785,3.60862370877198,3.2591998436712,3.36971387330578,2.332886767723,3.32543882730815,3.06405599911563,3.2598464794587
"9",8,13.4662092229747,74.0708778428113,65.0319965330226,67.5352272411864,13.0428247184254,73.3560367693997,64.6667776715097,73.4684373732859,18.1317725301399,73.4725501626164,64.7308538744097,70.5979611005497,7.27949100364093,25.0132251168261,18.9291930908649,25.4745175892715,17.0689534203671,63.4104685885197,43.3916836475581,59.756785684572,10.5450727222641,45.3333500161131,39.3370995186197,43.1379893018347,4.36881014788204,14.8962257810322,9.23654893748886,14.5642072567566,10.7351362580439,34.0272202437127,22.0583702493896,32.4841688172598,14.7815804820886,21.4446670833847,17.2907055028477,17.5448152363663,2.6799426122415,4.08367126638305,3.70926383175472,3.82932502272628,2.66532499517661,3.77315169203965,3.4894091705576,3.69943136172783
"10",9,15.1388180350903,78.4610256712174,70.4618815764182,70.7610744756514,14.6631698078605,77.5843188737963,69.9766530990398,77.4045066409679,20.3789418516553,79.5427574094519,70.9948343418747,75.2899885945133,8.18633952149588,27.1364172527342,20.9799734330387,27.3153014877078,19.1865096882626,67.8001882256824,48.0625383967346,62.296099309352,11.8541793233521,48.8937381810549,43.1027037231192,45.7124861837956,4.91337012667524,16.0575166132433,10.2866252130338,15.3860464319784,12.0680640750345,36.4929135844622,24.5459976600347,33.9822989771957,16.6117511831205,23.1639400940363,19.3952845903878,19.6504870287737,3.01400042582352,4.54976207422685,4.15554144665653,4.28380048987601,2.99755578481711,4.21461641395115,3.91173585194979,4.13312531318515
